Hospital	Borough	Type	Cases	Deaths
Bronx-Lebanon_Hospital_Center_-_Concourse_Division	The_Bronx	P	209	20
Jacobi_Medical_Center	The_Bronx	N	92	5
Lincoln_Medical_&_Mental_Health_Center	The_Bronx	N	133	4
Montefiore_Med_Center_-_Jack_D_Weiler_Hospital_of_A_Einstein_College_Div	The_Bronx	P	336	18
Montefiore_Medical_Center_-_Henry_&_Lucy_Moses_Div	The_Bronx	P	267	24
Montefiore_Medical_Center_-_Wakefield_Hospital	The_Bronx	N	62	3
SBH_Health_Sysytem	The_Bronx	P	112	7
Brookdale_Hospital_Medical_Center	Brooklyn	P	237	26
Brooklyn_Hospital_Center_-_Downtown_Campus	Brooklyn	N	168	19
Coney_Island_Hospital	Brooklyn	N	151	11
Kings_County_Hospital_Center	Brooklyn	N	178	12
Kingsbrook_Jewish_Medical_Center	Brooklyn	N	128	13
Maimonides_Medical_Center	Brooklyn	P	727	46
Mount_Sinai_Brooklyn	Brooklyn	N	179	22
NYU_Luteran_Medical_Center	Brooklyn	P	145	9
"New_York_Community_Hospital_of_Brooklyn,_Inc"	Brooklyn	N	92	6
New_York_Methodist_Hospital	Brooklyn	P	402	26
University_Hospital_of_Brooklyn	Brooklyn	P	190	21
Woodhull_Medical_&_Mental_Health_Center	Brooklyn	N	98	6
Wyckoff_Heights_Medical_Center	Brooklyn	N	149	7
Bellevue_Hospital_Center	Manhattan	P	129	4
Harlem_Hospital_Center	Manhattan	N	35	1
Lenox_Hill_Hospital	Manhattan	P	228	18
Metropolitan_Hospital_Center	Manhattan	N	84	7
Mount_Sinai_Beth_Israel	Manhattan	P	291	24
Mount_Sinai_Hospital	Manhattan	P	270	16
Mount_Sinai_Roosevelt	Manhattan	N	46	6
Mount_Sinai_St._Luke's	Manhattan	P	293	19
NYU_Hospitals_Center	Manhattan	P	241	15
New_York_Presbyterian_Hospital_-_Allen_Hospital	Manhattan	N	105	13
New_York_Presbyterian_Hospital_-_Columbia_Presbyterian_Center	Manhattan	P	353	25
New_York_Presbyterian_Hospital_-_New_York_Weill_Cornell_Center	Manhattan	P	250	11
New_York-Presbyterian/Lower_Manhattan_Hospital	Manhattan	N	41	4
Elmhurst_Hospital_Center	Queens	P	286	25
Flushing_Hospital_Medical_Center	Queens	N	56	3
Forest_Hills_Hospital	Queens	N	205	25
Jamaica_Hospital_Medical_Center	Queens	P	523	42
Long_Island_Jewish_Medical_Center	Queens	P	365	19
Mount_Sinai_Hospital_-_Mount_Sinai_Hospital_of_Queens	Queens	N	114	8
New_York_-_Presbyterian/Queens	Queens	P	344	31
Queens_Hospital_Center	Queens	N	184	10
St_Johns_Episcopal_Hospital_So_Shore	Queens	N	57	5
Richmond_University_Medical_Center	Staten_Island	P	162	11
Staten_Island_University_Hospital_-_North	Staten_Island	P	464	44
Staten_Island_University_Hospital_-_South	Staten_Island	N	54	7
