Hospital	Type	Cases	Deaths
Bellevue_Hospital_Center	P	129	4
Harlem_Hospital_Center	N	35	1
Lenox_Hill_Hospital	P	228	18
Metropolitan_Hospital_Center	N	84	7
Mount_Sinai_Beth_Israel	P	291	24
Mount_Sinai_Hospital	P	270	16
Mount_Sinai_Roosevelt	N	46	6
Mount_Sinai_St._Luke's	P	293	19
NYU_Hospitals_Center	P	241	15
New_York_Presbyterian_Hospital_-_Allen_Hospital	N	105	13
New_York_Presbyterian_Hospital_-_Columbia_Presbyterian_Center	P	353	25
New_York_Presbyterian_Hospital_-_New_York_Weill_Cornell_Center	P	250	11
New_York-Presbyterian/Lower_Manhattan_Hospital	N	41	4
