Admission	GRE	GPA
0	380	3.609999895
1	660	3.670000076
1	800	4
1	640	3.190000057
0	520	2.930000067
1	760	3
1	560	2.980000019
0	400	3.079999924
1	540	3.390000105
0	700	3.920000076
0	800	4
0	440	3.220000029
1	760	4
0	700	3.079999924
1	700	4
0	480	3.440000057
0	780	3.869999886
0	360	2.559999943
0	800	3.75
1	540	3.809999943
0	500	3.170000076
1	660	3.630000114
0	600	2.819999933
0	680	3.190000057
1	760	3.349999905
1	800	3.660000086
1	620	3.609999895
1	520	3.74000001
1	780	3.220000029
0	520	3.289999962
0	540	3.779999971
0	760	3.349999905
0	600	3.400000095
1	800	4
0	360	3.140000105
0	400	3.049999952
0	580	3.25
0	520	2.900000095
1	500	3.130000114
1	520	2.680000067
0	560	2.420000076
1	580	3.319999933
1	600	3.150000095
0	500	3.309999943
0	700	2.940000057
1	460	3.450000048
1	580	3.460000038
0	500	2.970000029
0	440	2.480000019
0	400	3.349999905
0	640	3.859999895
0	440	3.130000114
0	740	3.369999886
1	680	3.269999981
0	660	3.339999914
1	740	4
0	560	3.190000057
0	380	2.940000057
0	400	3.650000095
0	600	2.819999933
1	620	3.180000067
0	560	3.319999933
0	640	3.670000076
1	680	3.849999905
0	580	4
0	600	3.589999914
0	740	3.619999886
0	620	3.299999952
0	580	3.690000057
0	800	3.730000019
0	640	4
0	300	2.920000076
0	480	3.390000105
0	580	4
0	720	3.450000048
0	720	4
0	560	3.359999895
1	800	4
0	540	3.119999886
1	620	4
0	700	2.900000095
0	620	3.069999933
0	500	2.710000038
0	380	2.910000086
1	500	3.599999905
0	520	2.980000019
0	600	3.319999933
0	600	3.480000019
0	700	3.279999971
1	660	4
0	700	3.829999924
1	720	3.640000105
0	800	3.900000095
0	580	2.930000067
1	660	3.440000057
0	660	3.329999924
0	640	3.519999981
0	480	3.569999933
0	700	2.880000114
0	400	3.309999943
0	340	3.150000095
0	580	3.569999933
0	380	3.329999924
0	540	3.940000057
1	660	3.950000048
1	740	2.970000029
1	700	3.559999943
0	480	3.130000114
0	400	2.930000067
0	480	3.450000048
0	680	3.079999924
0	420	3.410000086
0	360	3
0	600	3.220000029
0	720	3.839999914
0	620	3.99000001
1	440	3.450000048
0	700	3.720000029
1	800	3.700000048
0	340	2.920000076
1	520	3.74000001
1	480	2.670000076
0	520	2.849999905
0	500	2.980000019
0	720	3.880000114
0	540	3.380000114
1	600	3.539999962
0	740	3.74000001
0	540	3.190000057
0	460	3.150000095
1	620	3.170000076
0	640	2.789999962
0	580	3.400000095
0	500	3.079999924
0	560	2.950000048
0	500	3.569999933
0	560	3.329999924
0	700	4
0	620	3.400000095
1	600	3.579999924
0	640	3.930000067
1	700	3.519999981
0	620	3.940000057
0	580	3.400000095
0	580	3.400000095
0	380	3.430000067
0	480	3.400000095
0	560	2.710000038
1	480	2.910000086
0	740	3.309999943
1	800	3.74000001
0	400	3.380000114
1	640	3.940000057
0	580	3.460000038
0	620	3.690000057
1	580	2.859999895
0	560	2.519999981
1	480	3.579999924
0	660	3.49000001
0	700	3.819999933
0	600	3.130000114
0	640	3.5
1	700	3.559999943
0	520	2.730000019
0	580	3.299999952
0	700	4
0	440	3.24000001
0	720	3.769999981
0	500	4
0	600	3.619999886
0	400	3.50999999
0	540	2.809999943
0	680	3.480000019
1	800	3.430000067
0	500	3.529999971
1	620	3.369999886
0	520	2.619999886
1	620	3.230000019
0	620	3.329999924
0	300	3.00999999
0	620	3.779999971
0	500	3.880000114
0	700	4
1	540	3.839999914
0	500	2.789999962
0	800	3.599999905
0	560	3.609999895
0	580	2.880000114
0	560	3.069999933
0	500	3.349999905
1	640	2.940000057
0	800	3.539999962
0	640	3.75999999
0	380	3.589999914
1	600	3.470000029
0	560	3.589999914
0	660	3.069999933
1	400	3.230000019
0	600	3.630000114
0	580	3.769999981
0	800	3.309999943
1	580	3.200000048
1	700	4
0	420	3.920000076
1	600	3.890000105
1	780	3.799999952
0	740	3.539999962
1	640	3.630000114
0	540	3.160000086
0	580	3.5
0	740	3.339999914
0	580	3.019999981
0	460	2.869999886
0	640	3.380000114
1	600	3.559999943
1	660	2.910000086
0	340	2.900000095
1	460	3.640000105
0	460	2.980000019
1	560	3.589999914
