Name	Total	word	N	Rate	Authorship
Federalist_No._1	1622	can	3	1.849568434	Hamilton
Federalist_No._11	2511	can	5	1.99123855	Hamilton
Federalist_No._12	2171	can	2	0.921234454	Hamilton
Federalist_No._13	970	can	4	4.12371134	Hamilton
Federalist_No._15	3095	can	14	4.523424879	Hamilton
Federalist_No._16	2047	can	1	0.488519785	Hamilton
Federalist_No._17	1574	can	2	1.27064803	Hamilton
Federalist_No._21	2003	can	9	4.49326011	Hamilton
Federalist_No._22	3565	can	6	1.683029453	Hamilton
Federalist_No._23	1807	can	11	6.087437742	Hamilton
Federalist_No._24	2012	can	4	1.988071571	Hamilton
Federalist_No._25	1992	can	3	1.506024096	Hamilton
Federalist_No._26	2388	can	5	2.093802345	Hamilton
Federalist_No._27	1460	can	11	7.534246575	Hamilton
Federalist_No._28	1609	can	12	7.458048477	Hamilton
Federalist_No._29	2248	can	11	4.893238434	Hamilton
Federalist_No._30	1974	can	12	6.079027356	Hamilton
Federalist_No._31	1740	can	2	1.149425287	Hamilton
Federalist_No._32	1493	can	1	0.669792364	Hamilton
Federalist_No._33	1694	can	2	1.180637544	Hamilton
Federalist_No._34	2220	can	7	3.153153153	Hamilton
Federalist_No._35	2261	can	6	2.653693056	Hamilton
Federalist_No._36	2745	can	16	5.828779599	Hamilton
Federalist_No._59	1919	can	6	3.126628452	Hamilton
Federalist_No._6	2054	can	2	0.973709834	Hamilton
Federalist_No._60	2260	can	4	1.769911504	Hamilton
Federalist_No._61	1526	can	6	3.931847969	Hamilton
Federalist_No._65	2026	can	5	2.467917078	Hamilton
Federalist_No._66	2270	can	3	1.321585903	Hamilton
Federalist_No._67	1660	can	3	1.807228916	Hamilton
Federalist_No._68	1519	can	1	0.658327847	Hamilton
Federalist_No._69	3001	can	18	5.998000666	Hamilton
Federalist_No._7	2315	can	3	1.295896328	Hamilton
Federalist_No._70	3121	can	5	1.602050625	Hamilton
Federalist_No._71	1755	can	2	1.13960114	Hamilton
Federalist_No._72	2049	can	2	0.976085896	Hamilton
Federalist_No._73	2373	can	3	1.264222503	Hamilton
Federalist_No._76	2310	can	2	0.865800866	Hamilton
Federalist_No._77	1980	can	8	4.04040404	Hamilton
Federalist_No._78	3074	can	18	5.855562785	Hamilton
Federalist_No._79	1042	can	7	6.717850288	Hamilton
Federalist_No._8	2062	can	1	0.484966052	Hamilton
Federalist_No._80	2460	can	5	2.032520325	Hamilton
Federalist_No._81	3933	can	6	1.525553013	Hamilton
Federalist_No._82	1554	can	5	3.217503218	Hamilton
Federalist_No._83	5855	can	6	1.024765158	Hamilton
Federalist_No._84	4212	can	11	2.611585945	Hamilton
Federalist_No._85	2720	can	10	3.676470588	Hamilton
Federalist_No._9	1997	can	1	0.500751127	Hamilton
