Name	Total	word	N	Rate	Authorship
Federalist_No._10	3008	can	4	1.329787234	Madison
Federalist_No._14	2159	can	9	4.168596572	Madison
Federalist_No._19	2056	can	1	0.486381323	Madison
Federalist_No._20	1531	can	1	0.653167864	Madison
Federalist_No._37	2719	can	2	0.735564546	Madison
Federalist_No._38	3328	can	9	2.704326923	Madison
Federalist_No._39	2616	can	1	0.382262997	Madison
Federalist_No._40	3036	can	3	0.988142292	Madison
Federalist_No._41	3560	can	9	2.528089888	Madison
Federalist_No._42	2786	can	3	1.076812635	Madison
Federalist_No._43	3447	can	9	2.610966057	Madison
Federalist_No._44	2912	can	7	2.403846154	Madison
Federalist_No._46	2624	can	7	2.667682927	Madison
Federalist_No._47	2748	can	9	3.27510917	Madison
Federalist_No._48	1873	can	4	2.135611319	Madison
Federalist_No._49	1657	can	4	2.414001207	Madison
Federalist_No._51	1924	can	3	1.559251559	Madison
Federalist_No._52	1854	can	7	3.77562028	Madison
Federalist_No._53	2175	can	13	5.977011494	Madison
Federalist_No._55	2051	can	8	3.900536324	Madison
Federalist_No._56	1580	can	4	2.53164557	Madison
Federalist_No._57	2216	can	7	3.158844765	Madison
Federalist_No._58	2093	can	5	2.388915432	Madison
Federalist_No._62	2397	can	9	3.754693367	Madison
Federalist_No._63	3050	can	14	4.590163934	Madison
