arm	height
155.1830419	154.0283551
170.1444807	163.2201647
160.0527714	162.1780046
162.3940684	155.1645606
154.2908189	152.9286365
167.7820175	162.709046
161.9694464	158.7685776
155.2157616	159.6783193
162.6548244	153.3513914
164.0915727	158.3242108
151.6011646	152.0628239
151.8964086	150.8011717
154.7272228	149.7073132
165.0547765	160.6101696
151.1047532	155.8949232
162.1508374	157.7369781
165.4595872	162.8596814
164.9403624	162.0407583
163.0506586	158.8902877
156.9799036	154.611844
