nameLast	Player	Age	AgeD	PA	OB
Amezaga	1	24	-6	13	7
Amezaga	1	25	-5	115	32
Amezaga	1	26	-4	99	21
Amezaga	1	27	-3	7	2
Amezaga	1	28	-2	371	123
Amezaga	1	29	-1	444	144
Amezaga	1	30	0	333	104
Amezaga	1	31	1	75	20
Amezaga	1	33	3	85	21
Bard	2	24	-6	94	24
Bard	2	25	-5	328	96
Bard	2	26	-4	23	11
Bard	2	27	-3	94	25
Bard	2	28	-2	282	114
Bard	2	29	-1	442	161
Bard	2	30	0	197	55
Bard	2	31	1	300	88
Bard	2	32	2	123	34
Bard	2	33	3	86	22
Bay	3	24	-6	107	45
Bay	3	25	-5	467	167
Bay	3	26	-4	707	284
Bay	3	27	-3	689	273
Bay	3	28	-2	614	201
Bay	3	29	-1	670	250
Bay	3	30	0	638	245
Bay	3	31	1	401	139
Bay	3	32	2	508	167
Bay	3	33	3	215	51
Bay	3	34	4	235	70
Berroa	4	23	-7	56	19
Berroa	4	24	-6	83	25
Berroa	4	25	-5	622	210
Berroa	4	26	-4	549	169
Berroa	4	27	-3	642	196
Berroa	4	28	-2	494	128
Berroa	4	29	-1	12	2
Berroa	4	30	0	250	76
Berroa	4	31	1	53	11
Bradley	5	22	-8	170	49
Bradley	5	23	-7	260	75
Bradley	5	24	-6	357	113
Bradley	5	25	-5	451	190
Bradley	5	26	-4	594	215
Bradley	5	27	-3	311	109
Bradley	5	28	-2	405	150
Bradley	5	29	-1	244	98
Bradley	5	30	0	509	222
Bradley	5	31	1	471	178
Bradley	5	32	2	277	81
Bradley	5	33	3	115	36
Chavez	6	23	-7	80	19
Chavez	6	24	-6	131	42
Chavez	6	25	-5	517	152
Chavez	6	26	-4	535	170
Chavez	6	27	-3	123	32
Chavez	6	28	-2	379	132
Chavez	6	29	-1	160	52
Chavez	6	30	0	289	89
Chavez	6	31	1	177	58
Chavez	6	33	3	269	87
Chavez	6	34	4	165	39
Chavez	6	35	5	276	80
Chavez	6	36	6	249	79
Church	7	25	-5	70	18
Church	7	26	-4	300	106
Church	7	27	-3	227	83
Church	7	28	-2	530	185
Church	7	29	-1	358	124
Church	7	30	0	397	134
Church	7	31	1	238	63
Cintron	8	22	-8	7	2
Cintron	8	23	-7	87	28
Cintron	8	24	-6	482	173
Cintron	8	25	-5	601	181
Cintron	8	26	-4	346	103
Cintron	8	27	-3	303	94
Cintron	8	28	-2	196	55
Cintron	8	29	-1	140	45
Cintron	8	30	0	28	4
Crede	9	22	-8	15	5
Crede	9	23	-7	55	15
Crede	9	24	-6	209	65
Crede	9	25	-5	578	178
Crede	9	26	-4	539	161
Crede	9	27	-3	469	142
Crede	9	28	-2	586	189
Crede	9	29	-1	178	46
Crede	9	30	0	373	117
Crede	9	31	1	367	106
Diaz	10	25	-5	10	2
Diaz	10	26	-4	24	7
Diaz	10	27	-3	96	31
Diaz	10	28	-2	321	117
Diaz	10	29	-1	383	141
Diaz	10	30	0	140	37
Diaz	10	31	1	420	164
Diaz	10	32	2	242	73
Diaz	10	33	3	268	81
Diaz	10	34	4	118	33
Diaz	10	35	5	19	4
Dobbs	11	25	-5	56	14
Dobbs	11	26	-4	153	44
Dobbs	11	27	-3	28	11
Dobbs	11	28	-2	358	118
Dobbs	11	29	-1	240	80
Dobbs	11	30	0	169	50
Dobbs	11	31	1	175	44
Dobbs	11	32	2	437	136
Dobbs	11	33	3	342	107
Dobbs	11	34	4	267	81
Dobbs	11	35	5	43	8
Figgins	12	24	-6	12	2
Figgins	12	25	-5	264	91
Figgins	12	26	-4	628	220
Figgins	12	27	-3	711	250
Figgins	12	28	-2	678	228
Figgins	12	29	-1	501	197
Figgins	12	30	0	518	190
Figgins	12	31	1	721	285
Figgins	12	32	2	685	233
Figgins	12	33	3	311	75
Figgins	12	34	4	187	49
Figgins	12	36	6	75	28
German	13	24	-6	40	12
German	13	25	-5	4	1
German	13	26	-4	64	19
German	13	27	-3	4	3
German	13	28	-2	325	137
German	13	29	-1	399	140
German	13	30	0	238	72
German	13	31	1	50	18
German	13	32	2	16	6
German	13	33	3	13	6
Giles	14	23	-7	272	92
Giles	14	24	-6	241	76
Giles	14	25	-5	625	244
Giles	14	26	-4	431	163
Giles	14	27	-3	650	237
Giles	14	28	-2	621	212
Giles	14	29	-1	470	143
Green	15	25	-5	282	88
Green	15	26	-4	365	120
Green	15	27	-3	126	33
Green	15	28	-2	7	0
Green	15	30	0	307	93
Green	15	31	1	23	5
Green	15	33	3	24	5
Green	15	34	4	63	19
Guzman	16	21	-9	449	120
Guzman	16	22	-8	683	204
Guzman	16	23	-7	519	175
Guzman	16	24	-6	648	189
Guzman	16	25	-5	573	178
Guzman	16	26	-4	611	189
Guzman	16	27	-3	484	126
Guzman	16	29	-1	192	73
Guzman	16	30	0	611	211
Guzman	16	31	1	549	168
Guzman	16	32	2	392	122
Harris	17	23	-7	24	3
Harris	17	24	-6	174	47
Harris	17	25	-5	147	38
Harris	17	26	-4	464	159
Harris	17	27	-3	135	45
Harris	17	28	-2	52	13
Harris	17	29	-1	390	136
Harris	17	30	0	421	145
Harris	17	31	1	390	142
Harris	17	32	2	261	76
Harris	17	33	3	282	99
Harris	17	34	4	47	8
Johnson	18	22	-8	78	24
Johnson	18	23	-7	438	152
Johnson	18	24	-6	403	170
Johnson	18	25	-5	295	106
Johnson	18	26	-4	547	223
Johnson	18	27	-3	626	268
Johnson	18	29	-1	147	61
Johnson	18	30	0	573	244
Johnson	18	31	1	98	38
Johnson	18	33	3	102	33
Ludwick	19	23	-7	88	26
Ludwick	19	24	-6	174	52
Ludwick	19	25	-5	54	15
Ludwick	19	26	-4	48	16
Ludwick	19	28	-2	336	114
Ludwick	19	29	-1	616	231
Ludwick	19	30	0	538	177
Ludwick	19	31	1	551	179
Ludwick	19	32	2	551	171
Ludwick	19	33	3	471	163
Ludwick	19	34	4	140	41
Ludwick	19	35	5	396	122
Martinez	20	23	-7	36	12
Martinez	20	24	-6	174	60
Martinez	20	25	-5	591	212
Martinez	20	26	-4	622	235
Martinez	20	27	-3	652	255
Martinez	20	28	-2	645	241
Martinez	20	29	-1	294	99
Martinez	20	30	0	672	256
Martinez	20	31	1	538	189
Martinez	20	32	2	595	226
Martinez	20	34	4	668	237
Martinez	20	35	5	641	262
Martinez	20	36	6	485	146
Martinez	20	37	7	610	214
Martinez	20	38	8	435	141
Martinez	20	39	9	508	151
Matos	21	21	-9	199	56
Matos	21	22	-8	110	33
Matos	21	23	-7	32	5
Matos	21	24	-6	476	168
Matos	21	25	-5	356	98
Matos	21	26	-4	430	146
Matos	21	27	-3	148	40
Mench	22	24	-6	410	134
Mench	22	25	-5	139	53
Mench	22	26	-4	481	161
Mench	22	27	-3	615	202
Mench	22	28	-2	482	151
Mench	22	29	-1	308	94
Mench	22	30	0	131	42
Mench	22	32	2	29	5
Nady	23	21	-9	1	1
Nady	23	24	-6	402	129
Nady	23	25	-5	83	25
Nady	23	26	-4	355	114
Nady	23	27	-3	510	172
Nady	23	28	-2	470	155
Nady	23	29	-1	607	217
Nady	23	30	0	29	9
Nady	23	31	1	346	106
Nady	23	32	2	223	64
Nady	23	33	3	166	42
Nady	23	35	5	42	10
Olivo	24	23	-7	21	6
Olivo	24	24	-6	342	98
Olivo	24	25	-5	325	93
Olivo	24	26	-4	280	69
Olivo	24	27	-3	449	129
Olivo	24	28	-2	469	123
Olivo	24	29	-1	317	88
Olivo	24	30	0	415	121
Olivo	24	31	1	425	134
Olivo	24	32	2	506	128
Olivo	24	33	3	322	77
Olivo	24	34	4	80	20
Olivo	24	35	5	25	6
Pena	25	23	-7	72	26
Pena	25	24	-6	443	140
Pena	25	25	-5	515	171
Pena	25	26	-4	559	189
Pena	25	27	-3	295	96
Pena	25	28	-2	37	13
Pena	25	29	-1	611	251
Pena	25	30	0	607	229
Pena	25	31	1	570	203
Pena	25	32	2	582	189
Pena	25	33	3	605	216
Pena	25	34	4	600	198
Pena	25	35	5	327	105
Pena	25	36	6	63	12
Phelps	26	22	-8	1	0
Phelps	26	23	-7	14	2
Phelps	26	24	-6	287	104
Phelps	26	25	-5	453	162
Phelps	26	26	-4	401	122
Phelps	26	27	-3	177	58
Phelps	26	29	-1	183	73
Phelps	26	30	0	36	11
Ramirez	27	20	-10	274	81
Ramirez	27	21	-9	63	16
Ramirez	27	22	-8	273	80
Ramirez	27	23	-7	655	229
Ramirez	27	24	-6	570	159
Ramirez	27	25	-5	670	217
Ramirez	27	26	-4	606	226
Ramirez	27	27	-3	506	181
Ramirez	27	28	-2	660	232
Ramirez	27	29	-1	558	204
Ramirez	27	30	0	645	245
Ramirez	27	31	1	342	133
Ramirez	27	32	2	507	149
Ramirez	27	33	3	626	226
Ramirez	27	34	4	630	227
Ramirez	27	35	5	351	130
Ramirez	27	36	6	531	175
Ramirez	27	37	7	516	153
Rivera	28	22	-8	4	0
Rivera	28	23	-7	90	28
Rivera	28	24	-6	184	56
Rivera	28	25	-5	426	155
Rivera	28	26	-4	374	118
Rivera	28	27	-3	494	179
