Team	Year	Kicker	Distance	Success
PHI	2005	Akers	49	0
PHI	2005	Akers	49	0
PHI	2005	Akers	44	1
PHI	2005	Akers	43	0
PHI	2005	Akers	23	1
PHI	2005	Akers	34	1
PHI	2005	Akers	48	1
PHI	2005	Akers	20	1
PHI	2005	Akers	60	0
PHI	2005	Akers	20	1
PHI	2005	Akers	38	0
PHI	2005	Akers	44	1
PHI	2005	Akers	38	1
PHI	2005	Akers	37	1
PHI	2005	Akers	33	1
PHI	2005	Akers	42	1
PHI	2005	Akers	49	0
PHI	2005	Akers	36	1
PHI	2005	Akers	50	1
PHI	2005	Akers	31	1
PHI	2005	Akers	49	1
PHI	2005	Akers	35	1
TEN	2005	Bironas	47	0
TEN	2005	Bironas	39	1
TEN	2005	Bironas	29	1
TEN	2005	Bironas	47	1
TEN	2005	Bironas	41	1
TEN	2005	Bironas	39	1
TEN	2005	Bironas	34	1
TEN	2005	Bironas	38	0
TEN	2005	Bironas	52	1
TEN	2005	Bironas	49	1
TEN	2005	Bironas	24	1
TEN	2005	Bironas	29	1
TEN	2005	Bironas	47	1
TEN	2005	Bironas	53	1
TEN	2005	Bironas	39	1
TEN	2005	Bironas	24	1
TEN	2005	Bironas	50	0
TEN	2005	Bironas	35	1
TEN	2005	Bironas	41	1
TEN	2005	Bironas	21	1
TEN	2005	Bironas	22	1
TEN	2005	Bironas	51	0
TEN	2005	Bironas	24	1
TEN	2005	Bironas	46	0
TEN	2005	Bironas	23	1
TEN	2005	Bironas	21	1
TEN	2005	Bironas	38	1
TEN	2005	Bironas	24	1
CHI	2005	Brien	48	1
CHI	2005	Brien	48	0
CHI	2005	Brien	36	0
CHI	2005	Brien	39	0
SEA	2005	Brown	33	1
SEA	2005	Brown	23	1
SEA	2005	Brown	47	1
SEA	2005	Brown	53	1
SEA	2005	Brown	47	0
SEA	2005	Brown	47	0
SEA	2005	Brown	34	1
SEA	2005	Brown	44	1
SEA	2005	Brown	28	1
SEA	2005	Brown	55	1
SEA	2005	Brown	50	1
SEA	2005	Brown	26	1
SEA	2005	Brown	28	1
SEA	2005	Brown	31	1
SEA	2005	Brown	21	1
SEA	2005	Brown	51	0
SEA	2005	Brown	47	1
SEA	2005	Brown	36	1
SEA	2005	Brown	40	0
SEA	2005	Brown	52	1
SEA	2005	Brown	50	0
SEA	2005	Brown	52	1
SEA	2005	Brown	36	0
SEA	2005	Brown	57	0
SEA	2005	Brown	44	1
SEA	2005	Brown	33	1
SEA	2005	Brown	31	1
SEA	2005	Brown	24	1
SEA	2005	Brown	39	1
SEA	2005	Brown	49	0
SEA	2005	Brown	47	1
SEA	2005	Brown	54	0
SEA	2005	Brown	50	0
HOU	2005	Brown	28	1
HOU	2005	Brown	32	1
HOU	2005	Brown	38	1
HOU	2005	Brown	43	1
HOU	2005	Brown	47	1
HOU	2005	Brown	39	1
HOU	2005	Brown	56	0
HOU	2005	Brown	38	1
HOU	2005	Brown	37	1
HOU	2005	Brown	35	1
HOU	2005	Brown	38	0
HOU	2005	Brown	40	1
