Player	Age	FG	FGA	FT	FTA
ARCHIBALD	22	486	1095	336	444
ARCHIBALD	23	734	1511	677	824
ARCHIBALD	24	1028	2106	663	783
ARCHIBALD	25	222	492	173	211
ARCHIBALD	26	759	1664	652	748
ARCHIBALD	27	717	1583	501	625
ARCHIBALD	28	250	560	197	251
ARCHIBALD	30	259	573	242	307
ARCHIBALD	31	383	794	361	435
ARCHIBALD	32	382	766	342	419
ARCHIBALD	33	308	652	236	316
ARCHIBALD	34	235	553	220	296
ARCHIBALD	35	136	279	64	101
BILLIPS	21	560	1498	452	532
BILLIPS	22	191	495	157	172
BILLIPS	23	34	101	37	44
BILLIPS	24	248	587	144	171
BILLIPS	25	348	823	207	234
BILLIPS	26	366	870	318	362
BILLIPS	27	392	996	404	460
BILLIPS	28	404	913	343	382
BILLIPS	29	423	1012	465	520
BILLIPS	30	348	815	386	437
BILLIPS	31	393	877	401	437
BILLIPS	32	820	1960	836	916
BILLIPS	33	402	962	466	512
BILLIPS	34	678	1588	768	838
BILLIPS	35	83	228	85	95
BILLIPS	36	53	132	45	48
BILLIPS	37	24	79	10	12
COUSY	22	401	1138	276	365
COUSY	23	512	1388	409	506
COUSY	24	464	1320	479	587
COUSY	25	486	1262	411	522
COUSY	26	522	1316	460	570
COUSY	27	440	1223	476	564
COUSY	28	478	1264	363	442
COUSY	29	445	1262	277	326
COUSY	30	484	1260	329	385
COUSY	31	568	1481	319	403
COUSY	32	513	1382	352	452
COUSY	33	462	1181	251	333
COUSY	34	392	988	219	298
COUSY	41	1	3	3	3
FRAZIER	22	256	568	154	235
FRAZIER	23	531	1052	341	457
FRAZIER	24	600	1158	409	547
FRAZIER	25	651	1317	434	557
FRAZIER	26	669	1307	450	557
FRAZIER	27	681	1389	286	350
FRAZIER	28	674	1429	295	352
FRAZIER	29	672	1391	331	400
FRAZIER	30	470	969	186	226
FRAZIER	31	532	1089	259	336
FRAZIER	32	336	714	153	180
FRAZIER	33	54	122	21	27
FRAZIER	34	4	11	2	2
HARDAWAY	22	509	1092	245	330
HARDAWAY	23	1049	2127	567	739
HARDAWAY	24	1362	2766	751	961
HARDAWAY	25	1155	2533	581	734
HARDAWAY	26	625	1441	363	485
HARDAWAY	27	301	717	149	211
HARDAWAY	28	808	1805	445	574
HARDAWAY	29	853	2020	489	621
HARDAWAY	30	964	2315	449	559
HARDAWAY	31	814	1869	334	426
HARDAWAY	32	859	2110	343	425
HARDAWAY	33	356	898	144	179
HARDAWAY	34	412	1056	147	183
HARDAWAY	35	452	1240	154	194
HARDAWAY	36	40	109	10	13
IVERSON	21	625	1504	382	544
IVERSON	22	649	1407	390	535
IVERSON	23	435	1056	356	474
IVERSON	24	729	1733	442	620
IVERSON	25	762	1813	585	719
IVERSON	26	665	1669	475	585
IVERSON	27	804	1940	570	736
IVERSON	28	435	1125	339	455
IVERSON	29	771	1818	656	786
IVERSON	30	815	1822	675	829
IVERSON	31	1162	2626	970	1220
IVERSON	32	712	1556	645	797
IVERSON	33	696	1668	542	694
IVERSON	34	272	632	208	262
JOHNSON	20	503	949	374	462
JOHNSON	21	862	1779	525	647
JOHNSON	22	1411	2730	1016	1296
JOHNSON	23	1456	2973	1102	1384
JOHNSON	24	1514	3035	1115	1366
JOHNSON	25	1617	3385	1219	1506
JOHNSON	26	1297	2703	1015	1211
JOHNSON	27	1737	3516	1314	1590
JOHNSON	28	1134	2380	943	1147
JOHNSON	29	1305	2689	1136	1291
JOHNSON	30	1480	3094	1267	1458
JOHNSON	31	1103	2383	924	1056
JOHNSON	32	423	953	209	251
JOHNSON	33	368	831	262	305
