"Team"	"League"	"W"	"L"	"Pct"	"R"	"RA"
"1"	"ARI"	"NL"	82	80	0.506	693	644
"2"	"ATL"	"NL"	90	72	0.556	759	657
"3"	"BAL"	"AL"	47	115	0.29	622	892
"4"	"BOS"	"AL"	108	54	0.667	876	647
"5"	"CHA"	"AL"	62	100	0.383	656	848
"6"	"CHN"	"NL"	95	68	0.583	761	645
"7"	"CIN"	"NL"	67	95	0.414	696	819
"8"	"CLE"	"AL"	91	71	0.562	818	648
"9"	"COL"	"NL"	91	72	0.558	780	745
"10"	"DET"	"AL"	64	98	0.395	630	796
"11"	"HOU"	"AL"	103	59	0.636	797	534
"12"	"KCA"	"AL"	58	104	0.358	638	833
"13"	"LAA"	"AL"	80	82	0.494	721	722
"14"	"LAN"	"NL"	92	71	0.564	804	610
"15"	"MIA"	"NL"	63	98	0.391	589	809
"16"	"MIL"	"NL"	96	67	0.589	754	659
"17"	"MIN"	"AL"	78	84	0.481	738	775
"18"	"NYA"	"AL"	100	62	0.617	851	669
"19"	"NYN"	"NL"	77	85	0.475	676	707
"20"	"OAK"	"AL"	97	65	0.599	813	674
"21"	"PHI"	"NL"	80	82	0.494	677	728
"22"	"PIT"	"NL"	82	79	0.509	692	693
"23"	"SDN"	"NL"	66	96	0.407	617	767
"24"	"SEA"	"AL"	89	73	0.549	677	711
"25"	"SFN"	"NL"	73	89	0.451	603	699
"26"	"SLN"	"NL"	88	74	0.543	759	691
"27"	"TBA"	"AL"	90	72	0.556	716	646
"28"	"TEX"	"AL"	67	95	0.414	737	848
"29"	"TOR"	"AL"	73	89	0.451	709	832
"30"	"WAS"	"NL"	82	80	0.506	771	682
